Frequency (Hz),S12 Real,S12 Imaginary
499849984,-0.599282,-0.299498
500450045,-0.603355,-0.29017
501050105,-0.607217,-0.28091
501650165,-0.610826,-0.271567
502250225,-0.614507,-0.262236
502850285,-0.617853,-0.252981
503450345,-0.621272,-0.243363
504050405,-0.624295,-0.233926
504650465,-0.62726,-0.224293
505250525,-0.630048,-0.214939
505850585,-0.632778,-0.205395
506450645,-0.635208,-0.195741
507050705,-0.637582,-0.186211
507650765,-0.639857,-0.176551
508250825,-0.641913,-0.166885
508850885,-0.643704,-0.157333
509450945,-0.645463,-0.14782
510051005,-0.647198,-0.138022
510651065,-0.648658,-0.128382
511251125,-0.649957,-0.118576
511851185,-0.651125,-0.108835
512451245,-0.65217,-0.0989746
513051305,-0.653132,-0.0890281
513651365,-0.65382,-0.0795119
514251425,-0.65435,-0.0699151
514851485,-0.654711,-0.0599963
515451545,-0.655081,-0.0505418
516051605,-0.655096,-0.0408272
516651665,-0.655158,-0.0312462
517251725,-0.655051,-0.02173
517851785,-0.654771,-0.0117745
518451845,-0.654275,-0.00242862
519051905,-0.653754,0.00700484
519651965,-0.653107,0.0165867
520252025,-0.652197,0.0262038
520852085,-0.651138,0.0357629
521452145,-0.650074,0.0454004
522052205,-0.648749,0.0546791
522652265,-0.647253,0.0641914
523252325,-0.645822,0.0735076
523852385,-0.644158,0.0827309
524452445,-0.642294,0.0922458
525052505,-0.640471,0.101281
525652565,-0.638399,0.110606
526252625,-0.636105,0.119717
526852685,-0.633841,0.128651
527452745,-0.63135,0.137607
528052805,-0.628789,0.146571
528652865,-0.626039,0.15572
529252925,-0.623105,0.164862
529852985,-0.620102,0.173686
530453045,-0.616893,0.182665
531053105,-0.613759,0.191395
531653165,-0.610387,0.200078
532253225,-0.606827,0.208627
532853285,-0.603224,0.217223
533453345,-0.599669,0.225507
534053405,-0.595796,0.233841
534653465,-0.591904,0.242192
535253525,-0.587765,0.250787
535853585,-0.583633,0.258705
536453645,-0.579419,0.266777
537053705,-0.57498,0.274917
537653765,-0.57047,0.282936
